commit	date	subject	tags	groups	file_count
649dbac2e252d1c66d4a863be8f4b4d8be6f609a	2020-10-23	(Release) Incremented version to 0.11.4.22	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
4ffb281ccccf1720bd1e451f6b330b48c3fe9e6a	2020-10-23	(Jovial) Implemented BitFunction	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	4
6f9389cb9c2633d8b8e036eb891d2930c3646298	2020-10-23	(Jovial) Added regression test to close issue	area:tests	tests	2
10b45ede48f5ed194d141f66f23d4077131e6308	2020-10-23	Merge branch 'master' into code-united			0
4e4bf953a7798f3e273adad25758eb3b71dc0320	2020-10-23	(Ada) use offset of initialzed name for renaming	area:src;drop:frontend-other;src:backend:unparser;src:frontend;src:rosetta	src/ROSETTA;src/backend/unparser;src/frontend/OTHER	4
a359891b5e379337934fe4e75c6923b771d50e32	2020-10-23	Merge commit 'accb84005efee51db3313efb348fdbf9f3c9bcfc' into HEAD			0
9708f8940367c220dde38c9e1a4fbce9f6b68208	2020-10-23	(Release) Incremented version to 0.11.4.21	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
e7854da962341dbef8f4304977dcece3769d43e8	2020-10-23	Merge branch 'master' into code-united			0
2a17c6659027f06809912fd32275309eb780d348	2020-10-23	Merge branch 'master' into code-united			0
a58026cbbba83ea5b7b0593a1d4b2e038c4e87d2	2020-10-23	Merge commit '214d785f859c5d441510a305d827ec9d5911de6c' into HEAD			0
4deadc85dea5b569fbdbeca39afe2128ee5ef6df	2020-10-22	(Release) Incremented version to 0.11.4.20	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
214d785f859c5d441510a305d827ec9d5911de6c	2020-10-22	Merge branch 'master' into Ada			0
be6998e957d4cf8037acf67d55aa652022ab7079	2020-10-22	(Ada Frontend) associations for asis	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	1
bc1acba065f18d9151df7f887ee2a51a627c4760	2020-10-22	(Ada) Revert changes in ASIS	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	2
accb84005efee51db3313efb348fdbf9f3c9bcfc	2020-10-22	(outliner) fix a bug related to write back to a const variable	area:src;area:tests;src:frontend;src:frontend:sage;src:midend	src/frontend/SageIII;src/midend;tests	5
7368f9143c06a22005d43c598abd60ed5efecee0	2020-10-22	(Ada) Extend frontend/backend	area:src;area:tests;drop:frontend-other;src:backend:unparser;src:frontend;src:frontend:sage	src/backend/unparser;src/frontend/OTHER;src/frontend/SageIII;tests	12
fbf82e3bad18dbc58df806bb50789297909a774b	2020-10-22	Merge commit '38668795130f92ec100581fa383d21ecc6737c7e' into HEAD			0
c18c3a6edb52f576832f56180a9fcb43087506bb	2020-10-22	(Release) Incremented version to 0.11.4.19	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
258e531b63a4a9f1fdb80df144913c358dff9da1	2020-10-22	Merge branch 'master' into code-united			0
33bc2b7029991a0a32ed8b8f4d89b1cc98238740	2020-10-22	Merge commit '198a4b90c9e8efa44e95888ace7326211aa2986b' into HEAD			0
38668795130f92ec100581fa383d21ecc6737c7e	2020-10-22	Merge branch 'master' into leek2/ada-dev			0
72234e68233137cf1b138e9289fdbe11a414c2be	2020-10-22	(Release) Incremented version to 0.11.4.18	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
0dabf92eb01dd35642e54ee64b4fd192fb3d6841	2020-10-22	Merge branch 'ada' into code-united			0
ddd80808558197afd8cae82ebd79af88b741acee	2020-10-22	Merge commit '769ed608fdbfe2f288ce206ad4067aeb6a699cf1' into HEAD			0
8d9c6d72921ba27e2e18412aa18fd577de281ed3	2020-10-22	(Release) Incremented version to 0.11.4.17	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
bd8c5274bd3cd7a403457cebcddca23ffc821727	2020-10-21	Merge commit '62023338bc555ffda988d84fe08c862bc0d476b9' into HEAD			0
fe438678d2a63200dac66d96af0f7993e769979f	2020-10-21	(Release) Incremented version to 0.11.4.16	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
3cf0456429911dea98b60319edfc872918e8ea58	2020-10-21	Merge commit '665d77c72c0c3535b9f35a00278d39d19c08aa0c' into HEAD			0
707fa0c845976a94f190ef5355c0f03584a9589e	2020-10-21	(Release) Incremented version to 0.11.4.15	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
bc53fc88ab9b0e2621ea50ba17a8c55a9a61b561	2020-10-21	(Ada) Support delay stmt	area:src;area:tests;drop:frontend-other;src:backend:unparser;src:frontend;src:frontend:sage;src:rosetta	src/ROSETTA;src/backend/unparser;src/frontend/OTHER;src/frontend/SageIII;tests	25
78411c8f5e8f1649d030dba928b616abf09de027	2020-10-21	(Ada) Support delay stmt	area:src;area:tests;drop:frontend-other;src:backend:unparser;src:frontend;src:frontend:sage;src:rosetta	src/ROSETTA;src/backend/unparser;src/frontend/OTHER;src/frontend/SageIII;tests	21
769ed608fdbfe2f288ce206ad4067aeb6a699cf1	2020-10-21	(outliner) tighten the condition for cross-file symbol fixup	area:src;src:midend	src/midend	1
71d605a57d54876021bae193b2bd6eeaaaeb162d	2020-10-21	(Ada Frontend) statements done for asis	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	1
